Work Item Type,Title,Description,Acceptance Criteria,Parent
User Story,Registro de usuario,Yo como usuario quiero registrarme con mis datos para entonces poder crear una cuenta única en la plataforma y poder participar en una o más ligas.,"• El usuario puede registrarse ingresando nombre (1–50), contraseña (8–12, alfanumérica, al menos una minúscula y una mayúscula), confirmación de contraseña, correo (máx 50) y alias (máx 50).
• El sistema autogenera un ID único, fecha de creación, asigna rol inicial de manager, estado de cuenta activo, imagen de perfil por defecto e idioma por defecto inglés.
• El correo debe ser único en el sistema.
• La cuenta queda activa inmediatamente (no se envía correo de confirmación).
• Se muestran mensajes de error claros para: correo duplicado, formato inválido de correo, longitudes inválidas, contraseña fuera de reglas, confirmación distinta.
Alternos:
• Si falla la validación de campos, el registro se rechaza mostrando el mensaje de error correspondiente.",
User Story,Inicio de sesión,Yo como usuario registrado quiero iniciar sesión para entonces acceder de forma segura a mis ligas y equipos en cualquier momento.,"• El usuario puede iniciar sesión con credenciales válidas.
• La sesión global se mantiene activa hasta 12 horas de inactividad o cierre manual en todos los dispositivos.
• Si el inicio de sesión es exitoso, el sistema redirige al perfil del jugador.
• Después de 5 intentos fallidos consecutivos, la cuenta cambia su estado de activa a bloqueada.
Alternos:
• Intentos con credenciales inválidas muestran un mensaje de error genérico.",
User Story,Cierre de sesión,Yo como usuario quiero cerrar sesión en cualquier momento para entonces proteger el acceso a mi cuenta y mantener mi información segura.,"• El usuario puede cerrar sesión en cualquier momento desde cualquier dispositivo.
• Tras cerrar sesión, el acceso a la cuenta finaliza y se requiere autenticación para reingresar.
• Después del cierre de sesión, el sistema redirige a la página de inicio.
Alternos:
• Si ocurre un fallo de red, se informa que la sesión podría no haberse cerrado correctamente y se solicita intentar de nuevo.",
User Story,Desbloqueo de cuenta bloqueada,Yo como usuario registrado quiero desbloquear mi cuenta cuando esta se encuentre bloqueada para entonces poder restablecer el acceso y continuar participando en mis ligas.,"• El usuario puede solicitar el desbloqueo y restablecimiento de su contraseña cuando la cuenta está bloqueada.
• El sistema envía un enlace temporal con expiración definida para restablecer la contraseña.
• La nueva contraseña debe cumplir las reglas de complejidad establecidas.
Alternos:
• Enlace expirado o inválido muestra un mensaje claro y permite nueva solicitud.",
User Story,Gestión de perfil de usuario,Yo como usuario quiero editar mi perfil para entonces mantener mi información personal y de juego actualizada en todas mis ligas y equipos.,"• El usuario puede editar todos los campos de su perfil excepto: fecha de creación, estado de cuenta, correo, ID y rol.
• No se puede modificar la información de ligas o equipos desde el perfil.
• El sistema mantiene historial de todos los cambios realizados en el perfil.
• La validación de campos obligatorios y formatos se aplica antes de guardar cambios.
Alternos:
• Si algún campo obligatorio no cumple el formato, se rechaza la actualización con mensaje de error.
• El usuario puede subir una imagen de perfil en formato JPEG o PNG, con tamaño máximo de 5 MB y dimensiones entre 300x300 y 1024x1024 píxeles.
Alternos:
• Si el archivo excede el tamaño o no está en un formato permitido, se muestra un mensaje de error y no se guarda el cambio.",
User Story,Ver perfil de usuario,Yo como usuario quiero ver mi perfil para entonces consultar mi información básica y mis participaciones en ligas y equipos.,"• La vista de perfil muestra: ID, nombre, correo, alias, idioma, foto, fecha de creación, rol y estado de cuenta.
• La vista incluye una sección con las ligas donde soy comisionado.
• La vista incluye una sección con mis equipos en cada liga.
Alternos:
• Si el perfil no tiene foto configurada, se muestra la imagen por defecto.
• Si no tengo ligas ni equipos, se muestran estados vacíos con mensajes informativos.",
User Story,Crear liga,Yo como usuario quiero crear una liga para entonces poder organizar un entorno de juego con mis propias reglas y participantes.,"• El usuario puede crear una liga ingresando nombre (1–100 caracteres), descripción opcional y cantidad de equipos: 4, 6, 8, 10, 12, 14, 16, 18 o 20.
• La liga requiere contraseña con el mismo formato de las cuentas: 8–12 caracteres, alfanumérica, al menos una minúscula y una mayúscula.
• El usuario que crea la liga queda asignado automáticamente como comisionado principal.
• Al crear la liga, el comisionado debe ingresar el nombre de su equipo y el sistema lo asigna a la liga.
• El sistema calcula y muestra cuántos cupos disponibles quedan en la liga tras la asignación del primer equipo.
• Al crear la liga se asigna el esquema de juego por defecto (ver formato abajo).
• Al crear la liga se asigna el esquema de puntos por defecto.
• Se autogeneran la fecha de creación y un identificador único de la liga.
• La liga queda en estado Pre-Draft por defecto.
• El sistema registra automáticamente la liga en la temporada marcada como 'actual' (solo una temporada puede estar activa a la vez; controlada por el administrador del sistema).
• La configuración de fecha límite de intercambios queda inactiva por defecto.
• Por defecto no existe límite máximo de cambios por temporada por equipo ni límite máximo de contrataciones de agentes libres por temporada por equipo.
• Durante la creación se configura si los playoffs serán de 4 equipos (semanas 16 y 17) o de 6 equipos (semanas 16, 17 y 18).
• La liga se crea por defecto permitiendo puntajes con decimales.
Alternos:
○ Si el nombre excede el límite o ya existe, se muestra un mensaje de error y no se crea la liga.
○ Si la contraseña no cumple el formato, se muestra un mensaje de error y no se crea la liga.
○ Si ocurre un fallo de red o base de datos, se informa y la liga no se crea parcialmente.
Información adicional:
○ Formato de posiciones por defecto: 1 QB, 2 RB, 1 K, 1 DEF, 2 WR, 1 RB/WR, 1 TE, 6 banca (cualquier posición) y 3 IR.
○ Esquema de puntuación por defecto:
  ○ Passing Yards: 1 punto cada 25 yds
  ○ Passing Touchdowns: 4 puntos
  ○ Interceptions Thrown: -2 puntos
  ○ Rushing Yards: 1 punto cada 10 yds
  ○ Receptions: 1 punto
  ○ Receiving Yards: 1 punto cada 10 yds
  ○ Rush/Recv Touchdowns: 6 puntos
  ○ Sacks: 1 punto
  ○ Interceptions: 2 puntos
  ○ Fumbles Recovered: 2 puntos
  ○ Safeties: 2 puntos
  ○ Touchdowns: 6 puntos
  ○ Team Def 2-point Return: 2 puntos
  ○ PAT Made: 1 puntos
  ○ FG Made 0-50 3 puntos
  ○ FG Made 50+ 5 puntos
  ○ Points Allowed <=10  5 puntos
  ○ Points Allowed <=20  2 puntos
  ○ Points Allowed <=30  0 puntos
  ○ Points Allowed > 30  -2 puntos",
User Story,Administrar estado de liga,Yo como comisionado de liga quiero activar o desactivar mi liga para entonces controlar su disponibilidad durante la temporada.,"• La liga puede desactivarse en cualquier momento por el comisionado.
• Si la liga se desactiva, deja de sumar puntos durante la semana en curso y siguientes mientras permanezca inactiva.
• Si se desactiva antes del draft, cualquier sesión de draft pendiente es eliminada.
• Para desactivar, el sistema solicita confirmación explícita.
• Solo el comisionado puede activar o desactivar la liga.
• La liga solo puede activarse si está inactiva; si se activa antes del draft, la sesión de draft no se recrea automáticamente.
• Si se activa durante la temporada, no se recalculan de forma retroactiva los puntos de las semanas en que estuvo inactiva.
Alternos:
○ Si un usuario sin permisos intenta activar/desactivar, el sistema rechaza la acción y muestra un mensaje de error.
○ Si ocurre un fallo de red o base de datos, el estado no cambia y se muestra un mensaje de error.",
User Story,Editar configuración de liga,Yo como comisionado de liga quiero editar la configuración de mi liga para entonces poder ajustar reglas y detalles antes del inicio de la temporada.,"• Cuando la liga está en estado Pre-Draft, el comisionado puede cambiar el esquema de juego.
• Cuando la liga está en estado Pre-Draft, el comisionado puede cambiar la cantidad de equipos (4, 6, 8, 10, 12, 14, 16, 18 o 20) siempre que el número no sea menor al de equipos ya registrados.
• Cuando la liga está en estado Pre-Draft, el comisionado puede cambiar el sistema de puntaje.
• En estado Pre-Draft se puede modificar la configuración de los playoffs.
• En estado Pre-Draft se puede habilitar o deshabilitar el uso de puntajes con decimales; si no se permiten, los valores con < 0.50 se redondean hacia abajo y ≥ 0.50 hacia arriba.
• En estado Pre-Draft se puede cambiar la configuración de fecha límite de intercambios a activo (debe indicarse una fecha máxima dentro de la temporada) o inactivarla si ya estaba activa.
• En cualquier momento se puede cambiar el límite máximo de cambios por temporada por equipo y el límite máximo de contrataciones de agentes libres por temporada por equipo; si están activos, deben ser enteros positivos entre 1 y 100; si están inactivos, se consideran sin límite.
• En todo momento se puede modificar el nombre de la liga, siempre que cumpla las reglas de creación; si no cumple, se muestra un mensaje de error y no se guardan cambios.
• Todas las ediciones válidas se registran con historial (quién, cuándo, qué campo).
Alternos:
○ Intentos de reducción de equipos por debajo del número ya registrado se rechazan con mensaje claro.
○ Si se intenta editar fuera del estado Pre-Draft (para campos restringidos), el sistema rechaza y muestra mensaje claro.
○ Si la fecha límite de intercambios no está dentro de la temporada, se rechaza con mensaje claro.
○ Si ocurre un fallo de red o validación, se informa y no se aplican cambios parciales.
Información adicional:
○ Formatos de posiciones disponibles
  ○ Default: 1 QB, 2 RB, 1 K, 1 DEF, 2 WR, 1 RB/WR, 1 TE, 6 banca (cualquier posición) y 3 IR.
  ○ Extremo:  1 QB, 2 RB, 1 K, 1 DEF, 2 WR, 1 RB/WR, 1 TE, 4 banca (cualquier posición).
  ○ Detallado: 1 QB, 2 RB, 1 K, 1 (DL), 1 LB, 1 CB , 2 WR, 1 RB/WR, 1 TE, 6 banca (cualquier posición).
  ○ Ofensivo: 2 QB, 3 RB, 1 K, 1 DEF , 3 WR, 1 RB/WR, 2 TE, 6 banca (cualquier posición).
○ Formatos de Puntacion disponibles 
  ○ Esquema de puntuación por defecto:
    ○ Passing Yards: 1 punto cada 25 yds
    ○ Passing Touchdowns: 4 puntos
    ○ Interceptions Thrown: -2 puntos
    ○ Rushing Yards: 1 punto cada 10 yds
    ○ Receptions: 1 punto
    ○ Receiving Yards: 1 punto cada 10 yds
    ○ Rush/Recv Touchdowns: 6 puntos
    ○ 2-Point Conversions 2 puntos
    ○ Sacks: 1 punto
    ○ Interceptions: 2 puntos
    ○ Fumbles Recovered: 2 puntos
    ○ Safeties: 2 puntos
    ○ Touchdowns: 6 puntos
    ○ Team Def 2-point Return: 2 puntos
    ○ PAT Made: 1 puntos
    ○ FG Made 0-50 3 puntos
    ○ FG Made 50+ 5 puntos
    ○ Points Allowed <=10  5 puntos
    ○ Points Allowed <=20  2 puntos
    ○ Points Allowed <=30  0 puntos
    ○ Points Allowed > 30  -2 puntos
  ○ Esquema de puntuación prioridad carrera
    ○ Passing Yards: 1 punto cada 30 yds 
    ○ Passing Touchdowns: 4 puntos
    ○ Interceptions Thrown: -2 puntos
    ○ Rushing Yards: 1 punto cada 5 yds 
    ○ Receptions: 0 punto 
    ○ Receiving Yards: 1 punto cada 10 yds
    ○ Rush/Recv Touchdowns: 6 puntos
    ○ 2-Point Conversions 2 puntos
    ○ Sacks: 1 punto
    ○ Interceptions: 2 puntos
    ○ Fumbles Recovered: 2 puntos
    ○ Safeties: 2 puntos
    ○ Touchdowns: 6 puntos
    ○ Team Def 2-point Return: 2 puntos
    ○ PAT Made: 1 puntos
    ○ FG Made 0-50 3 puntos
    ○ FG Made 50+ 5 puntos
    ○ Points Allowed <=20  5 puntos
  ○ Esquema de puntuación Max Puntos:
    ○ Passing Yards: 1 punto cada 20 yds 
    ○ Passing Touchdowns: 7 puntos 
    ○ Interceptions Thrown: -5 puntos 
    ○ Rushing Yards: 1 punto cada 5 yds 
    ○ Receptions: 2 punto 
    ○ Receiving Yards: 1 punto cada 5 yds 
    ○ Rush/Recv Touchdowns: 6 puntos
    ○ 2-Point Conversions 4 puntos
    ○ Sacks: 1 punto
    ○ Interceptions: 2 puntos
    ○ Fumbles Recovered: 2 puntos
    ○ Safeties: 2 puntos
    ○ Touchdowns: 6 puntos
    ○ Team Def 2-point Return: 2 puntos
    ○ PAT Made: 1 puntos
    ○ FG Made 0-30 3 puntos
    ○ FG Made 31-50 4 puntos
    ○ FG Made 50+ 5 puntos
    ○ Points Allowed <=20  5 puntos
  ○ Esquema de puntuación prioridad defensa
    ○ Passing Yards: 1 punto cada 30 yds 
    ○ Passing Touchdowns: 4 puntos
    ○ Interceptions Thrown: -2 puntos
    ○ Rushing Yards: 1 punto cada 5 yds 
    ○ Receptions: 0 punto 
    ○ Receiving Yards: 1 punto cada 10 yds
    ○ Rush/Recv Touchdowns: 6 puntos
    ○ 2-Point Conversions 2 puntos
    ○ Sacks: 10 punto 
    ○ Interceptions: 10 puntos 
    ○ Fumbles Recovered: 10 puntos 
    ○ Safeties: 4 puntos 
    ○ Blocked Kick 2 puntos
    ○ Points Allowed <=10 10 puntos
    ○ Points Allowed <=20 y >10 5 puntos
    ○ Points Allowed <=25 y >20 2 puntos
    ○ Touchdowns: 6 puntos
    ○ Team Def 2-point Return: 2 puntos
    ○ PAT Made: 1 puntos
    ○ FG Made 0-50 3 puntos
    ○ FG Made 50+ 5 puntos",
User Story,Crear temporada,"Yo como administrador del sistema quiero crear una temporada para entonces definir fechas, semanas y parámetros básicos que soporten las ligas.","• El administrador puede crear una temporada ingresando nombre (1–100), cantidad de semanas, fecha de inicio y fecha de fin.
• Cada semana debe tener una fecha de inicio y de fin dentro del rango de la temporada y cumplir las reglas de validación de fechas.
• El sistema valida que las fechas de fin sean posteriores a las de inicio, que no estén en el pasado y que no se traslapen con otra temporada existente.
• El sistema autogenera identificador único y fecha de creación.
• Se puede marcar la temporada como “actual”; solo una temporada puede tener este estado a la vez.
• Las fechas de las semanas no pueden traslaparse entre sí.
Alternos:
• Si el nombre ya existe o las fechas se traslapan con otra temporada, se muestra error y no se guarda.
• Si se intenta marcar más de una temporada como actual, se rechaza la operación con mensaje claro.",
